Depth [m],SSTR [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
331.38269,-36.1608,-0.068
332.40366,-36.4624,-1.2688
333.42459,-35.6,0.1317
334.44556,-36.1084,-0.6924
335.46649,-36.1551,-0.7208
336.48746,-35.6822,-1.0762
337.50839,-35.8464,-1.1555
338.52936,-35.5349,-1.3679
339.55029,-51.1026,-0.3823
340.57126,-35.5321,-1.8408
341.59222,-36.3052,-2.3917
342.61316,-36.175,-2.2231
343.63412,-35.5901,-0.3469
344.65506,-36.3888,-1.4769
345.67603,-36.3222,-1.6695
346.69696,-36.0305,-1.2631
347.71793,-36.0348,2.1127
348.73886,-36.1636,-0.0396
349.75983,-35.4542,-1.804
350.78079,-36.2981,-0.8921
351.80173,-36.3987,-1.2079
352.82269,-36.4313,-1.0507
353.84363,-69.8025,-0.674
354.86459,-36.25,-1.1781
355.88553,-34.8991,-1.5066
356.90649,-35.8917,-0.3299
357.92743,-33.6955,-2.5672
358.94839,-36.5474,-0.9346
359.96936,-36.1197,-0.8071
360.9903,-36.3732,0.1444
362.01126,-31.1042,-0.5749
363.0322,-36.4921,-0.0581
364.05316,-37.3885,0.0439
365.0741,-36.4143,-1.1739
366.09506,-36.2542,-1.5449
367.116,-38.5185,2.0008
368.13696,-36.3944,-1.222
369.15793,-36.8461,-0.2237
370.17886,-33.8739,-2.985
371.19983,-36.8093,-1.7615
372.22076,-37.312,1.5335
373.24173,-36.6762,-0.8156
374.26266,-36.815,-2.26
375.28363,-37.1945,-0.6429
376.30457,-36.4171,-0.8652
377.32553,-36.621,-0.2662
378.3465,-36.0121,-1.3608
379.36743,-37.0033,-0.3625
380.3884,-36.1155,-0.7788
381.40933,-36.9977,-0.6415
382.4303,-36.5091,-0.4701
383.45123,-36.7541,-1.3565
384.4722,-67.9206,-1.5052
385.49313,-38.7337,2.1254
386.5141,-36.0687,-0.7179
387.53506,-36.1976,-1.5236
388.556,-35.2432,-0.8085
389.57697,-34.7972,-7.5757
390.5979,-36.6281,-0.7222
391.61887,-36.182,-1.4132
392.6398,-36.0305,-1.8578
393.66077,-37.8317,-0.1062
394.6817,-35.9597,-2.2968
395.70267,-37.6773,-2.2076
396.72363,-36.4256,-2.175
397.74457,-37.3545,-0.5494
398.76553,-36.6437,-1.205
399.78647,-35.8422,-2.8759
400.80743,-37.2568,-0.4191
401.82837,-36.7343,0.3951
402.84933,-20.5251,-0.2464
403.87027,-36.2033,-1.484
404.89124,-37.0968,0.0496
405.9122,-50.2785,-0.6188
406.93314,-37.8331,-0.1416
407.9541,-36.8773,-1.3381
408.97504,-36.3534,-0.1062
409.996,-36.6451,-1.4316
411.01694,-37.0656,-0.2747
412.0379,-36.5063,-1.3112
413.05884,-37.5287,-0.269
414.0798,-36.9608,0.1388
415.10077,-37.3913,0.3271
416.1217,-36.7343,-0.9898
417.14267,-36.3888,-0.6273
418.1636,-37.7014,0.3823
419.18457,-37.4678,-1.1668
420.20551,-37.2327,-0.3313
421.22647,-37.5995,-1.6468
422.24741,-37.3106,0.1643
423.26837,-37.2922,-0.2521
424.28934,-37.2412,-0.7816
425.31027,-37.2936,0.6712
426.33124,-36.6932,-0.4899
427.35217,-37.4239,-1.5081
428.37314,-37.6929,-1.0209
429.39407,-37.5414,-0.2336
430.41504,-38.6997,1.6383
431.43597,-35.9144,-0.9006
432.45694,-36.638,-1.0988
433.47791,-37.1902,-0.5806
434.49884,-37.1478,0.2067
435.51981,-35.6185,1.4019
436.54074,-38.0667,1.2376
437.56171,-36.7626,-0.8567
438.58264,-37.0755,0.0906
439.60361,-37.3701,-0.7986
440.62454,-35.5873,-2.7258
441.64551,-37.3262,-0.7193
442.66647,-37.0062,-1.5973
443.68741,-37.169,-0.4135
444.70837,-37.237,-0.4829
445.72931,-37.2101,-0.5876
446.75027,-37.1081,-0.0807
447.77121,-37.8841,-1.5746
448.79218,-39.058,2.2557
449.81311,-36.9991,-0.3951
450.83408,-36.9113,-1.2518
451.85504,-36.7116,-1.3226
452.87598,-37.1959,-0.5083
453.89694,-16.7444,-0.9402
454.91788,-36.6366,-0.0666
455.93884,-37.5103,-2.0334
456.95978,-36.9198,-0.9275
457.98074,-38.2367,-0.5551
459.00168,-35.8719,-0.7094
460.02264,-36.1027,-2.5757
461.04361,-37.5117,0.6542
462.06454,-36.0107,0.9402
463.08551,-32.3106,-4.5228
464.10645,-38.7677,2.4228
465.12741,-63.8255,-1.1201
466.14835,-34.9289,-3.363
467.16931,-36.7824,-1.3056
468.19025,-36.7244,-1.6128
469.21121,-36.6762,-1.239
470.23218,-34.1246,-1.9229
471.25311,-38.1333,0.2988
472.27408,-36.5134,-1.8068
473.29501,-36.1863,-1.7757
474.31598,-36.6861,-1.1201
475.33691,-37.3474,0.6259
476.35788,-36.4652,-0.8907
477.37881,-36.6252,-0.3313
478.39978,-36.3194,-0.2549
479.42075,-39.3058,5.3823
480.44168,-36.3633,-0.6429
481.46265,-37.06,-0.279
482.48358,-36.2217,-1.2772
