Depth [m],FBE5 [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
161.90466,759.3295,272.2527
162.92561,723.1619,146.4277
163.94656,734.9987,221.6881
164.96751,3396.0681,3184.0066
165.98846,712.0856,72.7435
167.00941,733.7492,191.038
168.03036,755.7458,221.6213
169.05133,748.3054,232.0978
170.07228,797.8452,327.0907
171.09323,711.7942,85.5329
172.11418,732.317,210.9433
173.13513,744.8253,217.4765
174.15608,720.4042,112.3122
175.17703,740.3925,196.7015
176.19798,716.7188,123.2856
177.21893,840.1545,426.8596
178.23988,724.4276,175.6928
179.26085,716.8022,102.5325
180.2818,717.0116,106.9897
181.30275,714.9302,112.6526
182.3237,724.5917,165.8338
183.34465,774.3754,317.4713
184.3656,727.8499,170.2549
185.38655,806.893,358.4496
186.4075,734.5538,204.0192
187.42845,776.4126,248.3515
188.44942,717.8932,107.7983
189.47037,713.1362,83.3923
190.49132,725.722,168.2115
191.51227,719.4038,110.3939
192.53322,734.7739,143.9404
193.55417,742.9823,222.2579
194.57512,725.1656,147.1892
195.59607,722.3163,126.2074
196.61702,818.1086,390.8086
197.63799,723.8032,135.5648
198.65894,746.7435,239.831
199.67989,718.7393,111.4591
200.70084,724.4245,180.8626
201.72179,719.4053,140.094
202.74274,745.8602,202.3989
203.76369,720.5577,135.0186
204.78464,730.8685,172.7862
205.80559,727.7702,154.8286
206.82655,785.2872,380.0599
207.8475,719.1008,132.553
208.86845,864.4389,488.4081
209.8894,718.9017,113.1998
210.91035,880.3945,585.987
211.9313,721.8718,123.4067
212.95226,716.3198,99.512
213.97321,738.6077,174.7218
214.99416,716.5913,118.5316
216.01512,768.9304,275.4293
217.03607,762.1948,284.0419
218.05702,750.484,233.2451
219.07797,723.8986,153.5528
220.09892,746.3685,212.332
221.11987,717.1456,104.9952
222.14082,713.5574,99.9243
223.16177,715.2408,78.429
224.18272,715.8134,90.9809
225.20369,717.462,150.115
226.22464,737.0255,78.1077
227.24559,722.1982,129.2889
228.26654,727.8601,157.6521
229.28749,753.7372,256.7906
230.30844,1097.7177,126.9061
231.32939,722.622,167.838
232.35034,1417.5084,1222.5096
233.37129,789.2422,304.6001
234.39226,745.4688,213.6645
235.41321,735.8889,98.7188
236.43416,712.7988,99.7302
237.45511,780.0225,76.0275
238.47606,726.7822,187.4832
239.49701,802.7662,324.5981
240.51796,754.2409,255.7401
241.53891,733.7563,167.3035
242.55986,749.6008,212.5227
243.58083,798.5922,326.508
244.60178,717.4525,121.4879
245.62273,726.1314,179.2121
246.64368,747.5152,232.3205
247.66463,715.4254,110.3949
248.68558,808.1022,341.9206
249.70653,712.6725,85.0706
