Depth,2023-07-16 05:53:18
323.21509,-35.8663
324.23602,-35.988
325.25699,-36.0277
326.27792,-35.9781
327.29889,-35.9909
328.31982,-36.2613
329.34079,-35.5434
330.36172,-35.3622
331.38269,-36.1608
332.40366,-36.4624
333.42459,-35.6
334.44556,-36.1084
335.46649,-36.1551
336.48746,-35.6822
337.50839,-35.8464
338.52936,-35.5349
339.55029,-51.1026
340.57126,-35.5321
341.59222,-36.3052
342.61316,-36.175
343.63412,-35.5901
344.65506,-36.3888
345.67603,-36.3222
346.69696,-36.0305
347.71793,-36.0348
348.73886,-36.1636
349.75983,-35.4542
350.78079,-36.2981
351.80173,-36.3987
352.82269,-36.4313
353.84363,-69.8025
354.86459,-36.25
355.88553,-34.8991
356.90649,-35.8917
357.92743,-33.6955
358.94839,-36.5474
359.96936,-36.1197
360.9903,-36.3732
362.01126,-31.1042
363.0322,-36.4921
364.05316,-37.3885
365.0741,-36.4143
366.09506,-36.2542
367.116,-38.5185
368.13696,-36.3944
369.15793,-36.8461
370.17886,-33.8739
371.19983,-36.8093
372.22076,-37.312
373.24173,-36.6762
374.26266,-36.815
375.28363,-37.1945
376.30457,-36.4171
377.32553,-36.621
378.3465,-36.0121
379.36743,-37.0033
380.3884,-36.1155
381.40933,-36.9977
382.4303,-36.5091
383.45123,-36.7541
384.4722,-67.9206
385.49313,-38.7337
386.5141,-36.0687
387.53506,-36.1976
388.556,-35.2432
389.57697,-34.7972
390.5979,-36.6281
391.61887,-36.182
392.6398,-36.0305
393.66077,-37.8317
394.6817,-35.9597
395.70267,-37.6773
396.72363,-36.4256
397.74457,-37.3545
398.76553,-36.6437
399.78647,-35.8422
400.80743,-37.2568
401.82837,-36.7343
402.84933,-20.5251
403.87027,-36.2033
404.89124,-37.0968
405.9122,-50.2785
406.93314,-37.8331
407.9541,-36.8773
408.97504,-36.3534
409.996,-36.6451
411.01694,-37.0656
412.0379,-36.5063
413.05884,-37.5287
414.0798,-36.9608
415.10077,-37.3913
416.1217,-36.7343
417.14267,-36.3888
418.1636,-37.7014
419.18457,-37.4678
420.20551,-37.2327
